username,repo_name,stars,repo_url
ljianshu,Blog,7800,https://github.com/topics/ljianshu/Blog
metafizzy,infinite-scroll,7400,https://github.com/topics/metafizzy/infinite-scroll
olifolkerd,tabulator,6200,https://github.com/topics/olifolkerd/tabulator
developit,unfetch,5700,https://github.com/topics/developit/unfetch
jquery-form,form,5200,https://github.com/topics/jquery-form/form
Studio-42,elFinder,4600,https://github.com/topics/Studio-42/elFinder
elbywan,wretch,4500,https://github.com/topics/elbywan/wretch
dwyl,learn-to-send-email-via-google-script-html-no-server,3100,https://github.com/topics/dwyl/learn-to-send-email-via-google-script-html-no-server
ded,reqwest,2900,https://github.com/topics/ded/reqwest
wendux,ajax-hook,2500,https://github.com/topics/wendux/ajax-hook
LeaVerou,bliss,2400,https://github.com/topics/LeaVerou/bliss
noelboss,featherlight,2100,https://github.com/topics/noelboss/featherlight
craftpip,jquery-confirm,1900,https://github.com/topics/craftpip/jquery-confirm
k8w,tsrpc,1700,https://github.com/topics/k8w/tsrpc
,nette,1700,https://github.com/topics/nette
taoensso,sente,1700,https://github.com/topics/taoensso/sente
loadingio,css-spinner,1700,https://github.com/topics/loadingio/css-spinner
joaomilho,Enterprise,1600,https://github.com/topics/joaomilho/Enterprise
codingforentrepreneurs,eCommerce,1500,https://github.com/topics/codingforentrepreneurs/eCommerce
u014427391,jeeplatform,1400,https://github.com/topics/u014427391/jeeplatform
